StopName,StopUID,Direction,RouteName,StopSequence,00,01,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
民生社區活動中心,TPE38902,0,672,39,,,,,,,,,,,,,,,,,,,,
聯合二村,TPE38901,0,672,38,,,,38.83,44.27,,,,,,,,,,,,,,,
介壽國中,TPE38900,0,672,37,,,,52.7,70.83,,,,,,,,,,,,,,,
公教住宅,TPE38899,0,672,36,,,,50.27,55.91,,,,,,,,,,,,,,,
長庚醫院,TPE38898,0,672,35,,,,131.0,196.11,,,,,,,,,,,,,,,
南京敦化路口(小巨蛋),TPE38897,0,672,34,,,,84.08,104.22,,,,,,,,,,,,,,,
南京敦化路口(小巨蛋),TPE38896,0,672,33,,,,84.08,104.22,,,,,,,,,,,,,,,
捷運南京復興站,TPE38895,0,672,32,,,,135.0,107.18,,,,,,,,,,,,,,,
南京龍江路口,TPE38894,0,672,31,,,,50.11,109.0,,,,,,,,,,,,,,,
南京建國路口,TPE38893,0,672,30,,,,46.25,63.64,,,,,,,,,,,,,,,
長安東路二段,TPE38892,0,672,29,,,,170.82,141.44,,,,,,,,,,,,,,,
長安松江路口,TPE38891,0,672,28,,,,55.09,93.73,,,,,,,,,,,,,,,
光華商場,TPE38890,0,672,27,,,,48.6,54.55,,,,,,,,,,,,,,,
捷運忠孝新生站,TPE38889,0,672,26,,,,119.56,119.27,,,,,,,,,,,,,,,
仁愛新生路口,TPE38888,0,672,25,,,,60.64,66.8,,,,,,,,,,,,,,,
信義新生路口,TPE38887,0,672,24,,,,165.56,156.82,,,,,,,,,,,,,,,
金華新生路口,TPE38886,0,672,23,,,,49.5,53.27,,,,,,,,,,,,,,,
溫州街口,TPE38885,0,672,22,,,,217.11,196.44,,,,,,,,,,,,,,,
師大綜合大樓,TPE38884,0,672,21,,,,63.5,113.2,,,,,,,,,,,,,,,
師大,TPE38883,0,672,20,,,,35.09,43.42,,,,,,,,,,,,,,,
捷運古亭站(和平),TPE38881,0,672,19,,,,70.18,78.64,,,,,,,,,,,,,,,
羅斯福金門街口,TPE38880,0,672,18,,,,169.45,166.12,,,,,,,,,,,,,,,
羅斯福浦城街口,TPE38879,0,672,17,,,,42.36,44.08,,,,,,,,,,,,,,,
捷運台電大樓站,TPE38878,0,672,16,,,,29.55,44.0,,,,,,,,,,,,,,,
台電大樓,TPE38877,0,672,15,,,,98.0,126.5,,,,,,,,,,,,,,,
捷運公館站,TPE38876,0,672,14,,,,103.2,152.18,,,,,,,,,,,,,,,
福和橋(永元路),TPE38875,0,672,13,,,,462.86,528.25,,,,,,,,,,,,,,,
永元路,TPE38874,0,672,12,,,,148.73,142.4,,,,,,,,,,,,,,,
秀朗國小,TPE38873,0,672,11,,,,121.11,104.73,,,,,,,,,,,,,,,
得和路,TPE38872,0,672,10,,,,58.45,60.4,,,,,,,,,,,,,,,
中興新村,TPE38871,0,672,9,,,,141.7,138.91,,,,,,,,,,,,,,,
中興二村,TPE38870,0,672,8,,,,71.9,60.3,,,,,,,,,,,,,,,
智光商職,TPE38869,0,672,7,,,,50.3,49.78,,,,,,,,,,,,,,,
經建新村,TPE38867,0,672,6,,,,197.8,213.29,,,,,,,,,,,,,,,
捷運景平站,TPE38866,0,672,5,,,,50.6,94.17,,,,,,,,,,,,,,,
景平路景德街口,TPE38865,0,672,4,,,,90.6,67.4,,,,,,,,,,,,,,,
尖山腳,TPE191879,0,672,3,,,,77.33,122.67,,,,,,,,,,,,,,,
捷運秀朗橋站,TPE38863,0,672,2,,,,28.5,30.33,,,,,,,,,,,,,,,
中正環河路口,TPE38857,0,672,1,,,,,,,,,,,,,,,,,,,,
